nro, valence, energy, tension, preference, intensity, instrument
32, 4.3793, 7.3793, 7.1379, 4.2414, 5.6207, Organ
33, 6.0345, 5.4138, 4.4138, 5.8966, 5.2069, Pianos
34, 5.7241, 6.5172, 5.5172, 5.6897, 5.3448, Pianos
35, 4.8966, 5.3793, 5.8966, 5.7586, 5.5172, Pianos
36, 6.4483, 6.3793, 4.2759, 6.1034, 4.8621, Pianos
37, 6.8621, 5.6552, 4.3448, 6.5517, 5.0345, Pianos
38, 7.0345, 4.5172, 3.7586, 6.8621, 5.5517, Pianos
39, 6.4138, 6.1379, 4.6552, 6.2069, 5.0345, Pianos
40, 4.8966, 6.5862, 6.2069, 4.6897, 4.5172, Pianos
41, 6.7241, 4.8966, 3.5862, 6.6207, 4.4483, Marimba
42, 7.2414, 6.2414, 4.8966, 7.5172, 5.7586, Marimba
43, 7.2414, 5.8966, 3.5862, 6.5862, 4.4138, Marimba
44, 3.6897, 6.931, 6.5862, 4.6207, 3.9655, Steel Drum
45, 5.1379, 7.4828, 6.2759, 5.5517, 5.1379, Steel Drum
46, 3.8276, 7.1034, 6.7241, 4.4138, 4.1724, Steel Drum
47, 4.6552, 6.8966, 6.1724, 4.8621, 4.3793, Tubular Bells
48, 6.8276, 3.8965, 3.2069, 6.8276, 4.6552, Vibraphone
49, 6.7586, 5.6207, 4.069, 6.1724, 4.6552, Vibraphone
50, 6.6897, 4.8276, 3.4138, 6.4138, 4.5172, Vibraphone
51, 5.4138, 6.2759, 5.3448, 5.6207, 4.2759, Bass
52, 5.8966, 5.0345, 4.7931, 5.7586, 5.7931, Bass
53, 6.9655, 4.8276, 4.2759, 6.5517, 6.5862, Bass
54, 5.5172, 6.2759, 5.2759, 5.7586, 4.0345, Bass
55, 6.8621, 5.7586, 4.1379, 6.5517, 5.1724, Bass
56, 7.2414, 4.6897, 3.7586, 6.8621, 5.1379, Bass
57, 6.4483, 5.7931, 4.4828, 5.931, 4.8966, Bass
58, 5.2414, 7.6207, 7.2069, 5.7931, 6.6207, Cellos
59, 5.5172, 7.4483, 7, 6.3793, 6.7241, Cellos
60, 4.8621, 6.3448, 5.8966, 4.8276, 5, Cellos
61, 4.069, 6.5862, 6.7931, 4.3448, 5.2414, Cellos
62, 6.2759, 5.2414, 4.7931, 5.8966, 4.5862, Cellos
63, 6.7241, 6.5517, 5, 6.5172, 5.2069, Lutes
64, 6.8276, 6.1724, 4.931, 6.5172, 5.2069, Lutes
65, 4.2414, 6.9655, 6.6897, 4.931, 5.0345, Violas
66, 6.2759, 6.6897, 5.7241, 6.4138, 6.5862, Violas
67, 3, 7.5862, 7.5172, 3.2414, 5.069, Violas
68, 6.5172, 5.7241, 4.2759, 6.2759, 4.4138, Violas
69, 5.5172, 5.5862, 6.1379, 5.7241, 6.3103, Violas
70, 5.6552, 4.1724, 4.6897, 5.6207, 5.2069, Violins
71, 4.2414, 6.8621, 7.069, 3.8965, 5.5517, Violins
72, 3.1724, 6.9655, 7.1379, 3.2069, 5.2759, Violins
73, 4.1724, 7.1379, 7.3103, 4.4828, 5.1724, Violins
74, 7.5172, 5.1034, 4.1379, 7.1034, 6.8621, Violins
75, 5.5172, 6.5172, 5.4483, 5.5172, 3.8621, Violins
76, 7.1724, 5.6207, 4.2759, 7.1034, 6.8276, Violins
77, 3.2414, 6.8276, 7.2069, 3.6897, 5.4138, Violins
78, 5.0345, 5.0345, 6, 4.8276, 5.7931, Violins
79, 2.8276, 6.2414, 7.4828, 2.7241, 5.1379, Viols
80, 3.1724, 6.3793, 7.069, 3.1379, 5.1379, Viols
81, 3.1035, 5.6897, 6.8276, 3.4828, 4.4828, Viols
82, 5.7241, 3.931, 4.5517, 5.2069, 4.0345, Bassoons
83, 4.1379, 6.6552, 6.0345, 4.2069, 4.6897, Clarinets
84, 5.5862, 5.9655, 5.2069, 5.3103, 4.8621, Clarinets
85, 7.069, 4.1379, 3.5172, 6.7931, 5.6897, Flutes and Piccolo
86, 6.8621, 4.4138, 3.2069, 6.7241, 6.1379, Flutes and Piccolo
87, 5.2759, 6.2759, 5.8966, 5.8966, 4.6897, Flutes and Piccolo
88, 6.069, 4, 4.0345, 6.069, 5.2759, Flutes and Piccolo
89, 5.3793, 6.0345, 5.6552, 6.2414, 6, Flutes and Piccolo
90, 6.1724, 5.1724, 4.3793, 5.7931, 4.6897, Flutes and Piccolo
91, 6.8621, 4.3103, 3.931, 6.8966, 6.2069, Flutes and Piccolo
92, 3.4828, 6.3103, 6.931, 3.7586, 4.0345, Historical Wind Instruments
93, 2.7586, 7.2414, 7.5862, 2.931, 4.2759, Historical Wind Instruments
94, 4.8276, 5.3103, 5.1724, 5.2414, 4.7931, Historical Wind Instruments
95, 5.3793, 5.2069, 5.0345, 5.5862, 4.2069, Historical Wind Instruments
96, 4.1379, 5.7931, 6.0345, 4.2759, 4, Historical Wind Instruments
97, 4.931, 5.1724, 6.2414, 4.3448, 4.3448, Historical Wind Instruments
98, 6.7586, 3.4483, 3.1379, 6.4483, 4.8966, Historical Wind Instruments
99, 6.2414, 3.6552, 3.4483, 5.7586, 4.7586, Historical Wind Instruments
100, 6.2759, 3.9655, 3.2759, 6.1034, 4.1724, Historical Wind Instruments
101, 6.069, 4.1034, 3.4483, 5.6897, 4.3448, Historical Wind Instruments
102, 5.931, 4.7241, 4.5517, 5.7931, 4.6207, Historical Wind Instruments
103, 4.6552, 6.2069, 6.3448, 4.9655, 5.0345, Oboe and English Horn
104, 5.8621, 5.5172, 4.7586, 5.7931, 5.2069, Oboe and English Horn
105, 4.5172, 6.6552, 6.2759, 4, 4.3103, Saxophones
106, 1.8276, 7.2414, 7.7586, 2.3103, 4.9655, Saxophones
107, 4.1034, 6.0345, 6.1034, 4.3448, 4.4483, Saxophones
108, 4.2759, 6.3448, 6.1034, 3.8965, 4.6207, Saxophones
109, 3.6552, 7.1724, 6.6897, 3.6207, 4.7241, Saxophones
110, 2.2759, 7.4138, 7.7241, 3.2759, 5.3448, Saxophones
